Canton;Nationality;Age group;Age group name;Unemployed registered
Tessin;Suisses;Total;;2'899
Tessin;Total;;;5'202
Vaud;Etrangers;1;15-24 ans;625
Vaud;Etrangers;2;25-49 ans;5'987
Vaud;Etrangers;3;50 ans et plus;1'652
Vaud;Etrangers;Total;;8'264
Vaud;Suisses;1;15-24 ans;1'279
Vaud;Suisses;2;25-49 ans;5'203
Vaud;Suisses;3;50 ans et plus;2'409
Vaud;Suisses;Total;;8'891
Vaud;Total;;;17'155
Valais;Etrangers;1;15-24 ans;287
Valais;Etrangers;2;25-49 ans;1'352
Valais;Etrangers;3;50 ans et plus;487
Valais;Etrangers;Total;;2'126
Valais;Suisses;1;15-24 ans;459
Valais;Suisses;2;25-49 ans;1'448
Valais;Suisses;3;50 ans et plus;783
Valais;Suisses;Total;;2'690
Valais;Total;;;4'816
Neuchâtel;Etrangers;1;15-24 ans;216
Neuchâtel;Etrangers;2;25-49 ans;1'353
Neuchâtel;Etrangers;3;50 ans et plus;401
Neuchâtel;Etrangers;Total;;1'970
Neuchâtel;Suisses;1;15-24 ans;510
Neuchâtel;Suisses;2;25-49 ans;1'476
Neuchâtel;Suisses;3;50 ans et plus;782
Neuchâtel;Suisses;Total;;2'768
Neuchâtel;Total;;;4'738
Genève;Etrangers;1;15-24 ans;297
Genève;Etrangers;2;25-49 ans;4'561
Genève;Etrangers;3;50 ans et plus;1'084
Genève;Etrangers;Total;;5'942
Genève;Suisses;1;15-24 ans;617
Genève;Suisses;2;25-49 ans;4'066
Genève;Suisses;3;50 ans et plus;1'609
Genève;Suisses;Total;;6'292
Genève;Total;;;12'234
Jura;Etrangers;1;15-24 ans;46
Jura;Etrangers;2;25-49 ans;344
Jura;Etrangers;3;50 ans et plus;115
Jura;Etrangers;Total;;505
Jura;Suisses;1;15-24 ans;220
Jura;Suisses;2;25-49 ans;548
Jura;Suisses;3;50 ans et plus;346
Jura;Suisses;Total;;1'114
Jura;Total;;;1'619
Total;;;;133'169
