,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
87,544.0,4311,1249.0,14961.0,Ireland,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,"Trinity College Dublin, The University of Dublin",88,Europe,88
88,316.0,1847,969.0,6610.0,United States,https://www.topuniversities.com/universities/rice-university,Rice University,89,North America,89
89,339.0,3638,3745.0,25892.0,South Korea,https://www.topuniversities.com/universities/korea-university,Korea University,90,Asia,90
90,1294.0,8203,3561.0,31765.0,Canada,https://www.topuniversities.com/universities/university-alberta,University of Alberta,91,North America,90
91,485.0,4030,1140.0,8800.0,United Kingdom,https://www.topuniversities.com/universities/university-st-andrews,University of St Andrews,92,Europe,92
92,809.0,4575,1420.0,18531.0,Australia,https://www.topuniversities.com/universities/university-western-australia,The University of Western Australia,93,Oceania,93
93,211.0,7081,3509.0,45612.0,United States,https://www.topuniversities.com/universities/pennsylvania-state-university,Pennsylvania State University,94,North America,93
94,373.0,5098,6709.0,30233.0,Russia,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,Lomonosov Moscow State University,95,Europe,95
95,1275.0,5251,2447.0,20972.0,Hong Kong,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,The Hong Kong Polytechnic University,96,Asia,95
96,155.0,548,1992.0,16032.0,China,https://www.topuniversities.com/universities/university-science-technology-china,University of Science and Technology of China,97,Asia,97
97,1029.0,6104,1752.0,15844.0,Switzerland,https://www.topuniversities.com/universities/university-geneva,University of Geneva,98,Europe,98
98,494.0,1937,1500.0,12658.0,Sweden,https://www.topuniversities.com/universities/kth-royal-institute-technology,KTH Royal Institute of Technology,99,Europe,98
99,784.0,2706,2699.0,13474.0,United States,https://www.topuniversities.com/universities/washington-university-st-louis,Washington University in St. Louis,100,North America,100
100,870.0,7534,3025.0,29645.0,United Kingdom,https://www.topuniversities.com/universities/university-leeds,University of Leeds,101,Europe,101
101,1017.0,7789,2820.0,23775.0,United Kingdom,https://www.topuniversities.com/universities/university-southampton,University of Southampton,102,Europe,102
102,535.0,1234,2645.0,22419.0,Finland,https://www.topuniversities.com/universities/university-helsinki,University of Helsinki,103,Europe,102
103,322.0,1275,801.0,7636.0,Netherlands,https://www.topuniversities.com/universities/eindhoven-university-technology,Eindhoven University of Technology,104,Europe,104
